date,shop,genre,predicted_sales
2019-05-29,11503,408789,21
2019-05-30,11503,408789,22
2019-05-31,11503,408789,5
2019-05-01,11503,558846,27
2019-05-03,11503,558846,8
2019-05-05,11503,558846,12
2019-05-06,11503,558846,8
2019-05-07,11503,558846,8
2019-05-09,11503,558846,8
2019-05-10,11503,558846,10
2019-05-11,11503,558846,9
2019-05-12,11503,558846,10
2019-05-17,11503,558846,8
2019-05-18,11503,558846,9
2019-05-21,11503,558846,8
2019-05-24,11503,558846,8
2019-05-26,11503,558846,9
2019-05-27,11503,558846,8
2019-05-31,11503,558846,8
2019-05-01,12234,101020,2683
2019-05-02,12234,101020,2667
2019-05-03,12234,101020,2523
2019-05-04,12234,101020,2822
2019-05-05,12234,101020,3677
2019-05-06,12234,101020,2704
2019-05-07,12234,101020,2550
2019-05-08,12234,101020,2704
2019-05-09,12234,101020,2623
2019-05-10,12234,101020,3257
2019-05-11,12234,101020,2701
2019-05-12,12234,101020,2565
2019-05-13,12234,101020,3467
2019-05-14,12234,101020,3276
2019-05-15,12234,101020,3250
2019-05-16,12234,101020,4238
2019-05-17,12234,101020,4063
2019-05-18,12234,101020,4315
2019-05-19,12234,101020,4353
2019-05-21,12234,101020,3288
2019-05-22,12234,101020,3416
2019-05-23,12234,101020,3392
2019-05-24,12234,101020,4051
2019-05-25,12234,101020,5422
2019-05-26,12234,101020,4347
2019-05-27,12234,101020,3726
2019-05-28,12234,101020,4088
2019-05-29,12234,101020,3732
2019-05-30,12234,101020,4698
2019-05-31,12234,101020,2998
2019-05-01,12234,205761,911
2019-05-02,12234,205761,749
2019-05-03,12234,205761,721
2019-05-04,12234,205761,718
2019-05-05,12234,205761,859
2019-05-06,12234,205761,506
2019-05-07,12234,205761,517
2019-05-08,12234,205761,721
2019-05-09,12234,205761,653
2019-05-10,12234,205761,950
2019-05-11,12234,205761,834
2019-05-12,12234,205761,903
2019-05-13,12234,205761,832
2019-05-14,12234,205761,983
2019-05-16,12234,205761,705
2019-05-17,12234,205761,670
2019-05-18,12234,205761,664
2019-05-19,12234,205761,557
2019-05-20,12234,205761,838
2019-05-21,12234,205761,550
2019-05-22,12234,205761,407
2019-05-23,12234,205761,384
2019-05-24,12234,205761,352
2019-05-25,12234,205761,562
2019-05-26,12234,205761,385
2019-05-27,12234,205761,603
2019-05-28,12234,205761,604
2019-05-29,12234,205761,850
2019-05-30,12234,205761,1224
2019-05-01,12234,214781,20836
2019-05-02,12234,214781,20276
2019-05-03,12234,214781,13819
2019-05-04,12234,214781,14124
2019-05-05,12234,214781,26863
2019-05-06,12234,214781,17719
2019-05-07,12234,214781,18118
2019-05-08,12234,214781,18342
2019-05-09,12234,214781,18653
2019-05-10,12234,214781,28258
2019-05-11,12234,214781,20708
2019-05-12,12234,214781,22940
2019-05-13,12234,214781,21907
2019-05-14,12234,214781,20449
2019-05-15,12234,214781,29803
