genre,rank,estimated_sales
507843,13,71350.0
507843,14,67320.0
507843,15,59840.0
507843,16,59840.0
507843,17,59840.0
507843,18,54480.0
507843,19,50255.0
507843,20,50255.0
508456,1,3366900.0
508456,2,3366900.0
508456,3,936675.0
508456,4,274000.0
508456,5,274000.0
508456,6,274000.0
508456,7,274000.0
508456,8,274000.0
508456,9,274000.0
508456,10,274000.0
508456,11,82963.5
508456,12,82410.5
508456,13,82410.5
508456,14,82410.5
508456,15,82410.5
508456,16,82410.5
508456,17,82410.5
508456,18,82410.5
508456,19,56620.0
508456,20,38740.0
508599,1,353754.0
508599,2,353754.0
508599,3,185962.5
508599,4,182303.5
508599,5,158363.5
508599,6,155145.0
508599,7,154922.5
508599,8,154922.5
508599,9,154922.5
508599,10,153518.0
508599,11,126863.5
508599,12,122592.0
508599,13,84320.0
508599,14,84320.0
508599,15,75539.0
508599,16,75539.0
508599,17,75539.0
508599,18,75539.0
508599,19,75539.0
508599,20,36766.5
509417,1,181340.0
509417,2,181340.0
509417,3,138600.0
509417,4,138600.0
509417,5,133868.0
509417,6,120226.0
509417,7,120226.0
509417,8,102680.0
509417,9,94227.0
509417,10,76378.0
509417,11,76378.0
509417,12,76378.0
509417,13,59340.0
509417,14,59340.0
509417,15,59340.0
509417,16,59340.0
509417,17,50458.0
509417,18,50458.0
509417,19,50458.0
509417,20,50458.0
509434,1,90270.0
509434,2,84816.0
509434,3,69283.5
509434,4,67146.0
509434,5,61288.0
509434,6,57722.0
509434,7,54188.0
509434,8,49400.0
509434,9,47784.0
509434,10,47784.0
509434,11,47784.0
509434,12,47784.0
509434,13,38874.0
509434,14,37684.0
509434,15,35519.5
509434,16,35519.5
509434,17,35519.5
509434,18,35519.5
509434,19,34860.0
509434,20,29785.0
510003,1,751714.5
510003,2,751714.5
510003,3,751714.5
510003,4,264860.0
510003,5,264860.0
510003,6,191840.0
510003,7,164720.0
510003,8,145800.0
510003,9,145800.0
510003,10,145800.0
510003,11,125460.0
510003,12,118400.0
510003,13,110846.0
510003,14,104550.0
510003,15,90610.0
510003,16,90610.0
510003,17,90610.0
510003,18,90610.0
510003,19,77795.0
510003,20,66880.0
511293,1,131618.0
511293,2,131618.0
511293,3,131618.0
511293,4,131618.0
511293,5,96323.0
511293,6,96323.0
511293,7,90252.5
511293,8,90252.5
511293,9,75801.0
511293,10,75801.0
511293,11,75801.0
511293,12,75801.0
511293,13,75801.0
511293,14,68910.0
511293,15,55576.0
511293,16,48765.5
511293,17,48380.5
511293,18,45719.5
511293,19,41925.0
511293,20,41925.0
551180,1,172000.0
551180,2,172000.0
551180,3,151090.5
551180,4,151090.5
551180,5,151090.5
551180,6,104430.0
551180,7,104430.0
551180,8,104430.0
551180,9,66830.0
551180,10,66830.0
551180,11,66830.0
551180,12,60610.0
551180,13,60610.0
551180,14,57745.0
551180,15,57745.0
551180,16,57745.0
551180,17,57745.0
551180,18,49903.0
551180,19,49903.0
551180,20,36901.0
551228,1,321614.0
551228,2,321614.0
551228,3,321614.0
551228,4,321614.0
551228,5,321614.0
551228,6,231403.0
551228,7,220749.0
551228,8,220749.0
551228,9,173719.0
551228,10,173719.0
551228,11,161193.0
551228,12,161193.0
551228,13,161193.0
551228,14,161193.0
551228,15,161193.0
551228,16,161193.0
551228,17,161193.0
551228,18,114860.0
551228,19,96345.0
551228,20,96345.0
551732,1,66490.0
551732,2,66490.0
551732,3,66490.0
551732,4,66490.0
551732,5,66490.0
551732,6,66490.0
551732,7,54565.0
551732,8,45920.0
551732,9,45920.0
