shop,genre,sales,units,page_views
14293,408789,13825,5,4488
14293,501098,1497569,150,30151
14293,502280,19080,7,4552
14293,502835,2926,2,441
14293,506536,80599,22,3612
14293,506539,2990667,622,54875
14293,508456,0,0,79
14293,509434,0,0,75
14293,551732,1139479,137,17314
14293,551736,11132826,1655,273831
14293,560271,6272,4,303
14293,563689,215380,19,4106
14293,564647,4060,1,49
14293,566061,13039,1,285
14293,566647,392828,58,1818
14293,567251,0,0,54
14293,567554,5000,1,172
14513,101535,1856770,651,23001
14513,110409,7772570,3644,72102
14513,207774,1321280,816,17669
14545,301577,508600,86,8277
14545,509434,0,0,2
14545,560271,1670940,1099,57178
14564,201632,17110,3,66
14564,201925,9460,2,100
14564,205611,8800,1,44
14564,206361,39590,2,272
14564,206440,132981,26,8957
14564,206471,8976,2,1349
14564,207288,152655,81,5274
14564,216158,25090,5,528
14564,216173,83689,32,987
14564,301577,43800,2,586
14564,401534,44064,13,1040
14564,402279,0,0,23
14564,408789,46700,11,1450
14564,502280,710337,94,16967
14564,551180,9948700,2529,199168
14564,551228,72503,19,877
14564,551732,29520,8,514
14564,551736,15724,3,327
14564,558846,7896137,1168,151190
14564,558873,6588508,534,121098
14564,560271,11074,4,610
14578,100487,0,0,2
14578,201925,52000,1,135
14578,206440,0,0,297
14578,206471,50000,3,119
14578,207288,3500,1,220
14578,304080,0,0,10
14578,408789,0,0,60
14578,551180,99900,12,1633
14578,551732,8000,2,38
14578,551736,6000,1,27
14578,558846,209500,8,2185
14578,558873,65000,2,1328
14586,567645,390992,144,4448
14641,207288,31430,13,2386
14641,560271,0,0,33
14659,205611,0,0,41
14659,551180,0,0,3
14659,565724,118272,75,1143
147,205761,0,0,1
147,206361,47208716,8146,338967
147,206363,253280115,40407,1172101
147,206440,188221,26,6044
147,206471,7073123,1436,69604
147,216173,0,0,1
147,301577,10584,1,925
147,304080,2368660,228,35267
147,408789,25700,4,871
147,502221,84412,14,2342
147,502280,23190,2,368
147,551180,89171,29,920
147,558846,10944100,2520,136987
147,558873,2346623,199,33259
14721,110435,926800,221,5059
14721,207802,5000,1,20
14721,214104,2231016,736,8088
14755,110365,1376930,646,11603
14755,201925,307110,67,11286
14755,207288,465858,155,11554
14755,214099,49580,44,3849
14755,216173,104840,18,2269
14755,301577,0,0,1693
14755,402279,989063,189,43834
14755,407120,48300,13,1000
14755,408789,44500,10,1559
14755,502280,163800,11,3846
14755,551180,1414198,232,28812
14755,551228,21740,4,359
14755,551736,1500,1,168
14755,558846,498622,56,7904
14755,558873,230662,17,2995
14755,560271,3051730,669,41627
14755,567623,363420,147,1348
14808,201632,0,0,13
14878,502835,0,0,51
14922,216424,48640,12,481
1497,200181,0,0,57
1497,201632,0,0,7
1497,201925,174778,26,1683
1497,205611,0,0,14
1497,206440,35980,3,53
1497,206471,0,0,30
1497,207288,70867,39,1733
1497,216158,59850,6,435
1497,216173,0,0,13
1497,301577,0,0,236
1497,304080,62000,3,945
1497,401534,0,0,3
1497,402279,511058,208,8251
1497,408789,69750,6,481
1497,502221,123000,13,799
1497,502280,312340,19,2876
1497,551180,278295,55,1492
1497,551228,0,0,3
1497,551732,4200,1,37
1497,551736,11960,4,127
1497,558846,1640110,150,12893
1497,558873,2420,2,85
1497,560271,11210,3,163
14982,215430,0,0,2365
14982,551228,2390290,172,14383
14983,408789,0,0,34
14983,502280,0,0,20
14983,551180,145280,56,7687
14983,551732,11960,2,51
14983,558846,0,0,293
14983,558873,23200,5,748
14983,560271,0,0,6
1501,110365,0,0,9
1501,201925,0,0,11
1501,205582,20400,3,331
1501,205611,0,0,22
1501,212377,0,0,4
1501,215913,76450,10,2464
1501,216173,8000,2,60
1501,301577,0,0,52
1501,401534,0,0,3
1501,402279,53300,15,2100
1501,551228,77890,9,2478
1501,551736,0,0,43
1501,560271,0,0,24
1501,563689,0,0,3
1501,567554,0,0,20
15071,100487,28860,6,804
15092,100487,1700728,390,34046
15092,207288,0,0,42
15092,560271,0,0,14
15125,207288,0,0,13
15125,551180,0,0,188
15125,558846,60105,4,76
15125,558873,13338,1,999
1519,216424,805039,347,4190
15230,216424,0,0,32
15230,567623,152000,15,210
15355,201184,12286,3,216
15355,401534,0,0,21
15355,408789,32330,11,3280
15355,506536,5648,1,171
15355,563342,0,0,2
15375,200181,0,0,10
15375,201632,317500,51,3365
15375,201925,969871,101,28210
15375,204964,20820,5,432
15375,205611,0,0,42
15375,206440,0,0,167
15375,207288,0,0,1
15375,216173,356560,57,2057
15375,301577,856600,29,4119
15375,304080,4109000,176,26975
15375,402279,478288,106,6726
15375,407120,0,0,94
15375,408789,406610,145,14725
15375,502280,180200,11,2106
15375,551180,7145400,1566,108714
15375,551732,211470,36,4106
15375,558846,22754600,2956,232747
15375,558873,13001920,590,203123
15538,100487,3721544,409,58950
15538,110365,0,0,18
15538,201632,159960,40,1972
15538,206363,0,0,239
15538,207288,24572424,2213,312814
15538,216173,0,0,22
15538,408789,547575,27,6257
15538,502221,2744014,64,32734
15538,502280,3108120,82,41501
15538,508599,3740,1,241
15538,551732,7560,2,227
15538,560271,2451121,207,47537
15538,564895,887549,145,18087
15587,201632,62750,20,1122
15587,205611,77240,85,3510
15592,110365,101948,78,2448
15592,201184,12000,1,104
15592,207288,3960,3,621
15592,215913,146790,27,2261
15592,401534,24200,2,262
15592,402279,112640,8,410
15592,408789,442640,72,7734
15592,502221,59400,3,948
15592,506539,96564,59,987
1562,100487,8269300,30,44603
1562,201632,0,0,12
1562,206361,12600,1,434
1562,206440,238600,9,4311
1562,206471,278600,6,2232
1562,207288,1384900,36,5744
1562,301577,1580000,1,686
1562,502221,1227700,8,2143
1562,502280,1342900,9,4432
1562,551180,1113100,22,8289
1562,558846,1131600,29,6690
1562,558873,4413300,54,55068
15654,401131,1216,1,76
15654,401534,153357,59,4940
15657,401131,0,0,1255
15657,401534,2239040,743,28757
15724,100487,2490,2,236
15724,110365,4000,6,440
15724,207288,1013614,822,42780
15724,216173,233484,232,6348
15724,401534,25060,13,1526
15724,402279,34376,32,2197
15724,502221,2475,1,61
15724,502280,0,0,29
15724,560271,22400,14,3138
15742,408789,0,0,96
15753,402279,5940,3,468
15753,560271,11822675,8517,210222
15890,214099,0,0,24
15890,214781,0,0,5
15890,567623,0,0,16
15890,567645,52544,34,438
15921,202502,0,0,17
15921,207288,0,0,10
15960,205272,25900,7,347
16000,100181,13200,1,402
16000,551228,0,0,175
16027,100181,158610,169,3763
16027,110365,910,1,229
16027,201351,0,0,173
16027,201632,1000,1,21
16027,204586,0,0,1
16027,205582,10290,9,228
16027,205611,59394,26,2928
16027,205761,68360,18,1528
16027,206361,1800,3,66
