date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2026-05-27,201486,16,29707,actual,,,,,
2026-05-27,201486,16,,estimated,18582.11,1,18,545874.0,11840.0
2026-05-27,201486,17,15170,actual,,,,,
2026-05-27,201486,17,,estimated,14832.83,1,18,545874.0,11840.0
2026-05-27,201486,18,60351,actual,11840.0,,,,
2026-05-27,201486,19,37513,actual,,,,,
2026-05-27,201486,19,,estimated,11552.19,18,40,11840.0,6890.0
2026-05-27,201486,20,38782,actual,,,,,
2026-05-27,201486,20,,estimated,11271.37,18,40,11840.0,6890.0
2026-05-27,201632,1,,estimated,1517122.56,36,41,51780.0,31960.0
2026-05-27,201632,2,,estimated,1377560.31,36,41,51780.0,31960.0
2026-05-27,201632,3,,estimated,1250836.59,36,41,51780.0,31960.0
2026-05-27,201632,4,,estimated,1135770.35,36,41,51780.0,31960.0
2026-05-27,201632,5,,estimated,1031289.21,36,41,51780.0,31960.0
2026-05-27,201632,6,,estimated,936419.43,36,41,51780.0,31960.0
2026-05-27,201632,7,44419,actual,,,,,
2026-05-27,201632,7,,estimated,850276.85,36,41,51780.0,31960.0
2026-05-27,201632,8,5487,actual,,,,,
2026-05-27,201632,8,,estimated,772058.64,36,41,51780.0,31960.0
2026-05-27,201632,9,40315,actual,,,,,
2026-05-27,201632,9,,estimated,701035.83,36,41,51780.0,31960.0
2026-05-27,201632,10,3445,actual,,,,,
2026-05-27,201632,10,,estimated,636546.5,36,41,51780.0,31960.0
2026-05-27,201632,11,50813,actual,,,,,
2026-05-27,201632,11,,estimated,577989.64,36,41,51780.0,31960.0
2026-05-27,201632,12,,estimated,524819.5,36,41,51780.0,31960.0
2026-05-27,201632,13,56634,actual,,,,,
2026-05-27,201632,13,,estimated,476540.55,36,41,51780.0,31960.0
2026-05-27,201632,14,44419,actual,,,,,
2026-05-27,201632,14,,estimated,432702.85,36,41,51780.0,31960.0
2026-05-27,201632,15,83297,actual,,,,,
2026-05-27,201632,15,,estimated,392897.84,36,41,51780.0,31960.0
2026-05-27,201632,16,56698,actual,,,,,
2026-05-27,201632,16,,estimated,356754.54,36,41,51780.0,31960.0
2026-05-27,201632,17,56634,actual,,,,,
2026-05-27,201632,17,,estimated,323936.12,36,41,51780.0,31960.0
2026-05-27,201632,18,,estimated,294136.71,36,41,51780.0,31960.0
2026-05-27,201632,19,56698,actual,,,,,
2026-05-27,201632,19,,estimated,267078.58,36,41,51780.0,31960.0
2026-05-27,201632,20,35310,actual,,,,,
2026-05-27,201632,20,,estimated,242509.57,36,41,51780.0,31960.0
2026-05-27,201925,1,81819,actual,,,,,
2026-05-27,201925,1,,estimated,0,45,46,13345.0,23998.0
2026-05-27,201925,2,2467,actual,,,,,
2026-05-27,201925,2,,estimated,0,45,46,13345.0,23998.0
2026-05-27,201925,3,12698,actual,,,,,
2026-05-27,201925,3,,estimated,0,45,46,13345.0,23998.0
2026-05-27,201925,4,81819,actual,,,,,
2026-05-27,201925,4,,estimated,0,45,46,13345.0,23998.0
2026-05-27,201925,5,81819,actual,,,,,
