date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2018-12-01,402279,56865966.67,32207310.06,115484276.83,12710,7200,25809,4474.521479154262
2018-12-01,407120,47658697.81,26964496.96,95003319.7,6508,3683,12977,7321.590889676138
2018-12-01,408789,34616921.02,16486848.82,77811871.93,7444,3544,16736,4649.133776149978
2018-12-01,501098,44323109.08,21109572.89,99629429.24,3502,1668,7878,12648.441760239233
2018-12-01,502221,89909226.28999999,42820671.36,202097845.84,5901,2808,13259,15238.700101112234
2018-12-01,502280,61178044.74,38069450.16,121103526.02,5417,3373,10723,11290.826305756767
2018-12-01,502835,180946264.33,86178481.71000001,406730784.42,22025,10489,49506,8215.760258523138
2018-12-01,506012,74200203.56,42305884.46,165895101.32999998,1850,1054,4132,40146.46725813266
2018-12-01,506536,103108370.9,63894480.86,182774338.39,21669,13429,38412,4758.28044653917
2018-12-01,506539,176375186.42,98249410.97,362101004.8,63306,35265,129972,2786.0294540190494
2018-12-01,507515,40483463.37,21493629.580000002,76220133.27,3088,1639,5817,13108.208007458436
2018-12-01,507843,216548567.21,124097001.96,374605183.86,23364,13388,40423,9267.394572216059
2018-12-01,508456,239765728.42,118318348.41,538945101.24,9421,4650,21170,25458.78845406246
2018-12-01,508599,71399107.88,34004938.81,160490823.89000002,535,254,1197,133989.8822544643
2018-12-01,509417,104820602.72,58749869.6,235615618.97,6351,3561,14276,16505.57535420991
2018-12-01,509434,65066148.01,38600031.54,112802001.57000001,28895,17140,50092,2251.948052151027
2018-12-01,510003,287676600.21,195920449.32999998,472585453.57,44480,30296,73074,6467.065727351378
2018-12-01,511293,94769812.73,57127782.93,188622595.53,13749,8290,27365,6892.899118283148
2018-12-01,551180,97054946.0,46223932.53,176373997.88,25743,12260,46776,3770.590906279253
2018-12-01,551228,110554230.61,52653177.75,248503663.44,23871,11368,53654,4631.573516189545
2018-12-01,551732,61101585.33,42234641.6,109690659.34,12132,8389,21783,5035.437668209711
2018-12-01,551736,63802714.1,33490017.04,130023257.49,17948,9421,36570,3555.299895986295
2018-12-01,554973,55766144.39,26559496.27,125351069.0,1411,672,3173,39505.59671897289
2018-12-01,555003,45415041.46,27612542.79,74496699.54,14887,9050,24418,3050.899327586458
